127.0.0.1, 2019-04-23 12:39:52, GET, /gui/default/percentile, HTTP/1.1, 500, 6.966439
127.0.0.1, 2019-04-23 12:39:55, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.12-39-45.3ccdb29e-7727-40e6-9771-87ccd819fce9, HTTP/1.1, 200, 1.656417
127.0.0.1, 2019-04-23 12:39:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.421105
127.0.0.1, 2019-04-23 12:40:03, GET, /gui/appadmin/hooks, HTTP/1.1, 500, 6.385466
127.0.0.1, 2019-04-23 12:40:52, GET, /, HTTP/1.1, 303, 1.155025
127.0.0.1, 2019-04-23 12:40:54, GET, /welcome/default/index, HTTP/1.1, 200, 2.121356
127.0.0.1, 2019-04-23 12:40:58, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.911736
127.0.0.1, 2019-04-23 12:40:58, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 1.359567
127.0.0.1, 2019-04-23 12:41:07, GET, /admin/default/site, HTTP/1.1, 303, 0.022004
127.0.0.1, 2019-04-23 12:41:07, GET, /admin/default/index, HTTP/1.1, 200, 0.100015
127.0.0.1, 2019-04-23 12:41:12, POST, /admin/default/index, HTTP/1.1, 200, 1.045075
127.0.0.1, 2019-04-23 12:41:19, POST, /admin/default/index, HTTP/1.1, 200, 2.075211
127.0.0.1, 2019-04-23 12:41:41, GET, /, HTTP/1.1, 303, 0.915207
127.0.0.1, 2019-04-23 12:41:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.541135
127.0.0.1, 2019-04-23 12:41:47, POST, /admin/default/index, HTTP/1.1, 303, 0.300075
127.0.0.1, 2019-04-23 12:41:47, GET, /admin/default/site, HTTP/1.1, 200, 0.128030
127.0.0.1, 2019-04-23 12:41:49, POST, /admin/default/check_version, HTTP/1.1, 200, 1.136449
127.0.0.1, 2019-04-23 12:41:52, GET, /admin/default/design/gui, HTTP/1.1, 200, 0.924235
127.0.0.1, 2019-04-23 12:41:52, GET, /admin/static/_2.18.5/images/delete_icon.png, HTTP/1.1, 200, 0.028007
127.0.0.1, 2019-04-23 12:41:52, GET, /admin/static/_2.18.5/images/test_icon.png, HTTP/1.1, 200, 0.027004
127.0.0.1, 2019-04-23 12:41:52, GET, /admin/static/_2.18.5/images/search.png, HTTP/1.1, 200, 0.029009
127.0.0.1, 2019-04-23 12:41:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.154041
127.0.0.1, 2019-04-23 12:41:58, GET, /gui/appadmin/hooks, HTTP/1.1, 200, 0.988250
127.0.0.1, 2019-04-23 12:42:08, GET, /gui/default/index, HTTP/1.1, 200, 8.505908
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/default/edit/gui/models/db.py, HTTP/1.1, 200, 0.130032
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002002
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.029008
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.009002
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.043010
127.0.0.1, 2019-04-23 12:42:12, GET, /admin/static/_2.18.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003001
